baseMean log2FoldChange lfcSE stat pvalue padj
Phel_contig_10 5492.70960072414 7.8631504540472 0.797197012058071 9.86349714701944 5.99250758527973e-23 3.33723781454912e-20
Phel_contig_10001 136.224412089297 1.62245162721989 0.602336604005459 2.69359626566076 0.00706857297426006 0.042701732485227
Phel_contig_10005 51.5511935035151 -2.82637595320869 0.992107639509522 -2.84886018477389 0.00438761574975669 0.0296180303057019
Phel_contig_10010 8.7342056518699 2.85688000414025 0.930855613493083 3.06909037527277 0.00214711627482055 0.0172713540500384
Phel_contig_10013 189.785994443343 -2.07211153983238 0.512307675759888 -4.04466229548267 5.23985994474503e-05 0.000879652465584291
Phel_contig_10045 50.2388038133868 3.42378417357307 0.806817297734616 4.24356813269421 2.19993538681764e-05 0.000428875262851799
Phel_contig_1005 3425.16142786886 -1.7310040313606 0.426139021400776 -4.06206412562397 4.86407105890346e-05 0.00083202943573067
Phel_contig_10050 281.308679616738 -1.59926287336437 0.401341421248138 -3.98479396517509 6.75387006172529e-05 0.00108278761137929
Phel_contig_10058 24.604598291592 2.89350967443421 1.04807078341832 2.76079604566109 0.00576606725161167 0.0365880013989899
Phel_contig_1006 78.3048539525125 -2.13212956083732 0.535009267448772 -3.98521986545116 6.74176717358498e-05 0.00108171680012479
Phel_contig_10064 146.509765995238 2.10731702191138 0.767566020109651 2.74545376775582 0.0060427280939166 0.0378412579504423
Phel_contig_10065 28.4083629912895 2.49208004783606 0.677873370786306 3.67632091071131 0.000236621832659742 0.0030479732088167
Phel_contig_10088 26.9096014065836 -3.87447335558468 0.896735276421255 -4.32064340219464 1.55574913583742e-05 0.000321781544467455
Phel_contig_10091 35.278750858583 -2.48803870908863 0.868287752701053 -2.86545410936511 0.00416411622915045 0.0285148872708195
Phel_contig_10092 299.826637976748 -1.76559074021051 0.440923666474938 -4.0043002325684 6.22013276164585e-05 0.0010103512945268
Phel_contig_10095 25.9815160428041 -2.80748104024358 0.75882550552758 -3.69977158094027 0.000215793604799365 0.0028151167592317
Phel_contig_10096 133.134858412466 2.0027916583147 0.664799029330374 3.01262723011499 0.00258996843152921 0.0199050003497322
Phel_contig_10104 564.435027793299 -2.07950245739685 0.547137178934524 -3.80069667619079 0.000144289840918919 0.00203291145594739
Phel_contig_10111 79.888449006555 -1.32369674986281 0.480844372339181 -2.75285898309129 0.00590773372727728 0.0372286335989447
Phel_contig_10123 20.543708195679 -2.42751405349486 0.783680475111194 -3.09758138755521 0.00195106813831099 0.016069192752299
Phel_contig_10131 231.736116465646 -1.69923505684029 0.634871748699591 -2.67650129387681 0.00743952785205912 0.0443818685105115
Phel_contig_10136 49.0343555401358 1.44964518648838 0.522070730171873 2.77672181700578 0.00549101529941603 0.0352359691345992
Phel_contig_10138 1183.17734641357 -1.43183454897683 0.50355490765052 -2.84345267461985 0.00446276364609871 0.0300109441482373
Phel_contig_1014 79.7722706317807 2.73018941032747 0.775481908846443 3.52063585131048 0.000430513398485051 0.00495721977298354
